Feature,Importance
Total Follicles,13.811832566548414
Follicle No. (R),10.803326217103562
hair growth(Y/N),6.615720589302639
Skin darkening (Y/N),5.754712090303577
Weight gain(Y/N),5.178284954697991
Cycle(R/I),4.047638371923805
AMH(ng/mL),3.240756217615994
Cycle length(days),2.807661545365526
Pimples(Y/N),2.5915798251626394
Follicle No. (L),2.515299964390828
RBS(mg/dl),2.4859234901754688
TSH (mIU/L),2.2890287147662756
Marraige Status (Yrs),2.268703765743306
BMI,1.861517458084913
LH(mIU/mL),1.7469792355700735
Weight (Kg),1.7215432293119002
Waist:Hip Ratio,1.6857607934778134
RR (breaths/min),1.5986909320576232
FSH/LH,1.4995037076525009
 Age (yrs),1.4384696240053503
Avg. F size (L) (mm),1.3935597495303311
II    beta-HCG(mIU/mL),1.3798096848799313
  I   beta-HCG(mIU/mL),1.357313281183254
FSH(mIU/mL),1.3426728162375905
Waist Height Ratio,1.3102837009090844
PRG(ng/mL),1.3034798013791506
Hb(g/dl),1.2904585029084643
Avg. F size (R) (mm),1.286807209362743
PRL(ng/mL),1.2423873143314406
Fast food (Y/N),1.2344871168316758
Vit D3 (ng/mL),1.1258515619212544
Endometrium (mm),1.118536188266319
LH/FSH Ratio,1.106173467002818
Pulse rate(bpm) ,1.058906744819529
Waist(inch),1.0009580763313133
Height(Cm) ,0.859114372792445
Average Follicle Size,0.8518028350843246
Hip(inch),0.8398288684967647
Blood Group,0.8230719416148062
BP _Diastolic (mmHg),0.6778959846059558
BP _Systolic (mmHg),0.6544783923665706
Hair loss(Y/N),0.32778607283111116
Reg.Exercise(Y/N),0.20882080099153089
No. of aborptions,0.19020765200319223
Pregnant(Y/N),0.052374570058191905
