FoodID,FoodName,Category,Calories,Protein,Carbohydrates,Fat,Fiber,GlycemicIndex,Sodium_mg,Potassium_mg,Magnesium_mg,Calcium_mg,VitaminD_mcg,Zinc_mg,Omega3_g,SaturatedFat_g,Sugars,Cholesterol_mg,Meal_Type,NutrientDensity,GlycemicLoad,HeartHealthIndicator,AntiInflammatoryPotential,InsulinResistanceSuitability,HormonalHealthScore,WeightManagementScore,pcos_friendliness_score
1,Apple,Fruit,52,0.3,14.0,0.2,2.4,39,0,107.0,9.0,6.0,0.0,0.0,0.0,0.020000000000000004,19.0,0.0,Snack,0.11225490196078432,5.46,66.65333333333334,10.540000000000001,46.800000000000004,2.6999999999999997,50.5,27.450000000000003
2,Banana,Fruit,96,1.1,23.0,0.2,2.6,51,1,358.0,27.0,5.0,0.0,0.0,0.0,0.020000000000000004,14.0,0.0,Breakfast,0.1240867579908676,11.73,84.08666666666667,25.44,42.0,8.100000000000001,42.5,29.485
3,Orange,Fruit,43,0.9,9.0,0.1,2.3,42,0,181.0,10.0,40.0,0.0,0.0,0.0,0.010000000000000002,12.0,0.0,Snack,0.1716845878136201,3.78,71.22666666666666,27.869999999999997,45.8,3.0,50.7,31.597499999999997
4,Strawberries,General,29,0.7,7.0,0.3,2.0,40,1,153.0,13.0,16.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.16350210970464132,2.8,67.98,57.209999999999994,45.4,3.9000000000000004,51.5,39.1975
5,Blueberries,General,57,0.7,14.0,0.3,2.4,53,1,77.0,9.0,6.0,0.0,0.0,0.0,0.03,0.0,0.0,Any,0.11448598130841121,7.42,64.51333333333334,58.01,39.199999999999996,2.6999999999999997,43.8,35.6975
6,Watermelon,General,30,0.6,8.0,0.2,0.6,76,1,112.0,11.0,8.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.084375,6.08,59.68666666666667,52.839999999999996,17.999999999999996,3.3,27.60000000000001,24.955000000000002
7,Pineapple,General,50,0.5,13.0,0.1,1.4,66,1,180.0,12.0,13.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,Any,0.09966666666666667,8.58,67.46,55.370000000000005,27.0,3.5999999999999996,33.599999999999994,29.5625
8,Mango,General,60,0.8,15.0,0.4,1.6,51,2,156.0,9.0,11.0,0.0,0.0,0.0,0.04000000000000001,0.0,0.0,Any,0.09348484848484846,7.65,66.44,55.58,37.4,2.6999999999999997,41.5,34.09
9,Grapes,General,69,0.7,18.0,0.2,0.9,46,2,191.0,11.0,10.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,Any,0.06848739495798319,8.28,66.05333333333334,53.74,37.4,3.3,40.1,33.5
10,Avocado,General,160,2.0,9.0,15.0,6.7,15,7,480.0,29.0,12.0,0.0,0.0,0.1,1.5,0.0,0.0,Any,0.18944444444444444,1.35,100.0,71.0,81.8,11.2,72.3,59.550000000000004
